sentiment_score_predicted,sentiment_category_predicted,sentiment_keywords,combined_text
-0.9997760653495789,very_negative,"[""frequent"", ""bugs"", ""system"", ""crashes""]",Frequent bugs and system crashes.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
-0.9998152852058411,very_negative,"[""poor"", ""customer"", ""support"", ""slow"", ""response"", ""times""]","Poor customer support, slow response times."
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
-0.9997919201850891,very_negative,"[""worth"", ""price"", ""considering"", ""alternatives""]","Not worth the price, considering alternatives."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
-0.9997760653495789,very_negative,"[""frequent"", ""bugs"", ""system"", ""crashes""]",Frequent bugs and system crashes.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
-0.9997339844703674,very_negative,"[""disappointed"", ""service"", ""quality""]",Very disappointed with the service quality.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
-0.9998152852058411,very_negative,"[""poor"", ""customer"", ""support"", ""slow"", ""response"", ""times""]","Poor customer support, slow response times."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
-0.9991400241851807,very_negative,"[""multiple"", ""issues"", ""product"", ""needs"", ""improvement""]","Multiple issues with the product, needs improvement."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
-0.9997919201850891,very_negative,"[""worth"", ""price"", ""considering"", ""alternatives""]","Not worth the price, considering alternatives."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9977855682373047,very_positive,"[""product"", ""works"", ""expected""]",The product works as expected.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
-0.9997339844703674,very_negative,"[""disappointed"", ""service"", ""quality""]",Very disappointed with the service quality.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
-0.9997339844703674,very_negative,"[""disappointed"", ""service"", ""quality""]",Very disappointed with the service quality.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
-0.9998152852058411,very_negative,"[""poor"", ""customer"", ""support"", ""slow"", ""response"", ""times""]","Poor customer support, slow response times."
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
-0.9997339844703674,very_negative,"[""disappointed"", ""service"", ""quality""]",Very disappointed with the service quality.
-0.9997339844703674,very_negative,"[""disappointed"", ""service"", ""quality""]",Very disappointed with the service quality.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9985994696617126,very_positive,"[""average"", ""experience"", ""meets"", ""requirements""]","Average experience, meets requirements."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
-0.9998152852058411,very_negative,"[""poor"", ""customer"", ""support"", ""slow"", ""response"", ""times""]","Poor customer support, slow response times."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998854398727417,very_positive,"[""love"", ""new"", ""features"", ""keep"", ""good"", ""work""]","Love the new features, keep up the good work!"
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9501128196716309,very_positive,"[""standard"", ""service"", ""complaints""]","Standard service, no complaints."
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9993517994880676,very_positive,"[""service"", ""adequate"", ""needs""]",Service is adequate for our needs.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
-0.7337360382080078,very_negative,"[""product"", ""functions"", ""normally""]",Product functions normally.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
-0.9997919201850891,very_negative,"[""worth"", ""price"", ""considering"", ""alternatives""]","Not worth the price, considering alternatives."
0.9998732805252075,very_positive,"[""excellent"", ""support"", ""team"", ""always"", ""responsive""]","Excellent support team, always responsive."
0.9998626708984375,very_positive,"[""outstanding"", ""customer"", ""service"", ""product"", ""quality""]",Outstanding customer service and product quality.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
0.999768078327179,very_positive,"[""best"", ""investment"", ""made"", ""year""]",Best investment we've made this year.
-0.9991400241851807,very_negative,"[""multiple"", ""issues"", ""product"", ""needs"", ""improvement""]","Multiple issues with the product, needs improvement."
0.9998536109924316,very_positive,"[""great"", ""product"", ""satisfied"", ""service""]",Great product! Very satisfied with the service.
